ts,src,dst,dport,bytes,pkts
2026-09-05T03:19:00Z,web1.lab.local,198.51.100.7,8444,14500,40
2026-09-05T03:19:05Z,web1.lab.local,198.51.100.7,8444,14600,41
2026-09-05T03:19:10Z,web1.lab.local,198.51.100.7,8444,14300,39
2026-09-05T03:19:15Z,web1.lab.local,198.51.100.7,8444,14700,43
2026-09-05T03:19:20Z,web1.lab.local,198.51.100.7,8444,14800,44
2026-09-05T03:19:25Z,web1.lab.local,198.51.100.7,8444,14400,40
2026-09-05T03:19:30Z,web1.lab.local,198.51.100.7,8444,14550,41
2026-09-05T03:19:35Z,web1.lab.local,198.51.100.7,8444,14600,42
2026-09-05T05:19:20Z,db1.lab.local,203.0.113.99,443,800,6
2026-09-05T05:19:30Z,db1.lab.local,203.0.113.99,443,900,7
2026-09-05T08:00:15Z,web1.lab.local,203.0.113.99,443,850,6
2026-09-05T03:21:00Z,web1.lab.local,203.0.113.5,22,640,4
2026-09-05T03:21:05Z,web1.lab.local,203.0.113.5,80,640,4
2026-09-05T03:21:10Z,web1.lab.local,203.0.113.5,443,640,4
2026-09-05T03:21:15Z,web1.lab.local,203.0.113.5,3389,640,4
2026-09-05T03:21:20Z,web1.lab.local,203.0.113.5,8080,640,4
2026-09-05T03:21:25Z,web1.lab.local,203.0.113.5,8443,640,4
